column,pathway,direction,v1_mean,v2_mean,diff,log2fc,rank_biserial,u_pvalue,q_value,abs_rank_biserial
s-KISS1,KISS1,s,0.0010288287265829636,0.0006482182483913474,0.00038061047819161616,0.6664504668507569,-0.06086313881039118,2.026921577336388e-22,2.787017168837534e-22,0.06086313881039118
r-MK,MK,r,4.381481198690282,4.310264126212251,0.07121707247803055,0.023642390060410082,-0.06058313715667052,3.1471923438278614e-22,4.312415806767588e-22,0.06058313715667052
r-PTN,PTN,r,6.740654888643811,6.65336489359064,0.0872899950531707,0.01880460503234526,0.05925771655228429,2.4588853653004685e-21,3.357650360893053e-21,0.05925771655228429
r-CXCL,CXCL,r,0.49743625940283415,0.47260419337845266,0.024832066024381483,0.07387924268755143,0.05889248140780268,4.298977296072353e-21,5.850154670943821e-21,0.05889248140780268
r-VTN,VTN,r,0.4848676693596708,0.5203768470712297,-0.03550917771155887,-0.10196571496455854,-0.05785992743084778,2.0481057189978597e-20,2.77756802987381e-20,0.05785992743084778
s-SELPLG,SELPLG,s,0.11131256270865993,0.11366788041013928,-0.0023553177014793564,-0.030208219333475485,-0.05760605091513982,2.9940150387678746e-20,4.0465186189490727e-20,0.05760605091513982
r-VEGI,VEGI,r,0.008933963772452768,0.006760657333803597,0.0021733064386491707,0.40213682704248854,0.057240347621803744,5.1587523401379314e-20,6.948523560185786e-20,0.057240347621803744
r-APP,APP,r,0.05962253763765989,0.04553697652316527,0.014085561114494626,0.3888192673753388,-0.057150298885684125,5.895245122961107e-20,7.913617182008808e-20,0.057150298885684125
r-UCN,UCN,r,0.15921397981303145,0.17093396042242548,-0.011719980609394026,-0.10247203575242288,-0.05673650393731422,1.0856307559849489e-19,1.4523979032771613e-19,0.05673650393731422
r-IL12,IL12,r,0.0063515396376445125,0.006193091938017416,0.00015844769962709664,0.03644647990739452,-0.056691829160931295,1.1593092908842317e-19,1.5457457211789755e-19,0.056691829160931295
s-SEMATOSTATIN,SEMATOSTATIN,s,0.3321734743989833,0.3284570907407783,0.003716383658205036,0.016231961098867508,0.056550612363020836,1.4262565983134963e-19,1.8952940031280017e-19,0.056550612363020836
s-SELE,SELE,s,0.03705585056237344,0.035293313723351434,0.0017625368390220067,0.07030644594422225,0.055872331551530374,3.8319010694501023e-19,5.075026165559333e-19,0.055872331551530374
r-NPR2,NPR2,r,0.0034121650013803815,0.00318342114893591,0.00022874385244447135,0.10010935193729183,-0.05561880158757182,5.527765323309987e-19,7.296650226769182e-19,0.05561880158757182
s-IL12,IL12,s,0.006351539637644513,0.006193091938017416,0.0001584476996270975,0.03644647990739452,-0.05557655875328915,5.874837286563956e-19,7.729021812223676e-19,0.05557655875328915
r-CLEC,CLEC,r,0.5507920382103367,0.5333652184186359,0.0174268197917008,0.046383957590703684,0.054967545732671264,1.406340296397746e-18,1.8440753555414153e-18,0.054967545732671264
s-AGT,AGT,s,0.007497910165898587,0.005239559055466287,0.0022583511104323,0.5170430532806167,0.05491507658185668,1.515515427505072e-18,1.9806736280264307e-18,0.05491507658185668
r-PARs,PARs,r,1.417862002085022,1.471601538017559,-0.053739535932537,-0.053669964652686336,-0.05471080560514019,2.026203149241016e-18,2.639396207563955e-18,0.05471080560514019
